200L X2_H
[epoch 18] , pixel_metric: 0.9676, PSNR: 33.7213
[epoch 19] , pixel_metric: 0.9617, PSNR: 33.1498
[epoch 20] , pixel_metric: 0.9664, PSNR: 33.4796
[epoch 21] , pixel_metric: 0.9690, PSNR: 33.9470
[epoch 22] , pixel_metric: 0.9681, PSNR: 33.8486
[epoch 23] , pixel_metric: 0.9663, PSNR: 33.5498
[epoch 24] , pixel_metric: 0.9690, PSNR: 34.0723
[epoch 25] , pixel_metric: 0.9679, PSNR: 33.1863
[epoch 26] , pixel_metric: 0.9696, PSNR: 34.2363
[epoch 27] , pixel_metric: 0.9686, PSNR: 33.6416
[epoch 28] , pixel_metric: 0.9640, PSNR: 33.1276
[epoch 29] , pixel_metric: 0.9672, PSNR: 33.6533
[epoch 30] , pixel_metric: 0.9707, PSNR: 34.3874
[epoch 31] , pixel_metric: 0.9721, PSNR: 34.6452
[epoch 32] , pixel_metric: 0.9716, PSNR: 34.6217
[epoch 33] , pixel_metric: 0.9704, PSNR: 34.2455
[epoch 34] , pixel_metric: 0.9726, PSNR: 34.7281
[epoch 35] , pixel_metric: 0.9723, PSNR: 34.7032
[epoch 36] , pixel_metric: 0.9725, PSNR: 34.6822
[epoch 37] , pixel_metric: 0.9722, PSNR: 34.6450
[epoch 38] , pixel_metric: 0.9728, PSNR: 34.8096
[epoch 39] , pixel_metric: 0.9729, PSNR: 34.7800
[epoch 40] , pixel_metric: 0.9726, PSNR: 34.7027
[epoch 41] , pixel_metric: 0.9731, PSNR: 34.8571
[epoch 42] , pixel_metric: 0.9726, PSNR: 34.7968
[epoch 43] , pixel_metric: 0.9727, PSNR: 34.7833
[epoch 44] , pixel_metric: 0.9731, PSNR: 34.8401
[epoch 45] , pixel_metric: 0.9725, PSNR: 34.6416
[epoch 46] , pixel_metric: 0.9732, PSNR: 34.8135
[epoch 47] , pixel_metric: 0.9726, PSNR: 34.6792
[epoch 48] , pixel_metric: 0.9725, PSNR: 34.7439
[epoch 49] , pixel_metric: 0.9731, PSNR: 34.8115
[epoch 50] , pixel_metric: 0.9730, PSNR: 34.8289
[epoch 51] , pixel_metric: 0.9737, PSNR: 34.9589
[epoch 52] , pixel_metric: 0.9736, PSNR: 34.9162
[epoch 53] , pixel_metric: 0.9735, PSNR: 34.9135
[epoch 54] , pixel_metric: 0.9737, PSNR: 34.9639
[epoch 55] , pixel_metric: 0.9738, PSNR: 34.9875
[epoch 56] , pixel_metric: 0.9738, PSNR: 34.9753
[epoch 57] , pixel_metric: 0.9737, PSNR: 34.9577
[epoch 58] , pixel_metric: 0.9737, PSNR: 34.9752
[epoch 59] , pixel_metric: 0.9738, PSNR: 34.9849
[epoch 60] , pixel_metric: 0.9738, PSNR: 34.9743
[epoch 61] , pixel_metric: 0.9739, PSNR: 35.0042
[epoch 62] , pixel_metric: 0.9739, PSNR: 34.9805
[epoch 63] , pixel_metric: 0.9737, PSNR: 34.9357
[epoch 64] , pixel_metric: 0.9739, PSNR: 34.9939
[epoch 65] , pixel_metric: 0.9739, PSNR: 34.9951
[epoch 66] , pixel_metric: 0.9737, PSNR: 34.9617
[epoch 67] , pixel_metric: 0.9737, PSNR: 34.9434
[epoch 68] , pixel_metric: 0.9736, PSNR: 34.9393
[epoch 69] , pixel_metric: 0.9739, PSNR: 34.9952
[epoch 70] , pixel_metric: 0.9739, PSNR: 34.9953
[epoch 71] , pixel_metric: 0.9739, PSNR: 35.0000
[epoch 72] , pixel_metric: 0.9737, PSNR: 34.9393
[epoch 73] , pixel_metric: 0.9738, PSNR: 34.9492
[epoch 74] , pixel_metric: 0.9738, PSNR: 34.9525
[epoch 75] , pixel_metric: 0.9739, PSNR: 34.9844
[epoch 76] , pixel_metric: 0.9741, PSNR: 35.0346
[epoch 77] , pixel_metric: 0.9739, PSNR: 34.9401
[epoch 78] , pixel_metric: 0.9739, PSNR: 35.0041
[epoch 79] , pixel_metric: 0.9739, PSNR: 34.9777
[epoch 80] , pixel_metric: 0.9740, PSNR: 35.0107
[epoch 81] , pixel_metric: 0.9739, PSNR: 34.9949
[epoch 82] , pixel_metric: 0.9739, PSNR: 34.9939
[epoch 83] , pixel_metric: 0.9741, PSNR: 35.0269

100L X2_H
[epoch 1] , pixel_metric: 0.9245, PSNR: 29.7715
[epoch 2] , pixel_metric: 0.9306, PSNR: 30.3957
[epoch 3] , pixel_metric: 0.9454, PSNR: 31.5968
[epoch 4] , pixel_metric: 0.9536, PSNR: 32.7124
[epoch 5] , pixel_metric: 0.9544, PSNR: 32.7290
[epoch 6] , pixel_metric: 0.9572, PSNR: 33.0106
